Date,TemAver,SID,year,season
1988-10-24,15.2,56280,1988,1
1988-10-25,15.5,56280,1988,1
1988-10-26,16.0,56280,1988,1
1988-10-27,15.3,56280,1988,1
1988-10-28,15.2,56280,1988,1
1988-10-29,15.0,56280,1988,1
1988-10-30,14.6,56280,1988,1
1988-10-31,15.3,56280,1988,1
1988-11-01,14.1,56280,1988,1
1988-11-02,11.7,56280,1988,1
1988-11-03,13.2,56280,1988,1
1988-11-04,14.0,56280,1988,1
1988-11-05,13.4,56280,1988,1
1988-11-06,13.4,56280,1988,1
1988-11-07,14.4,56280,1988,1
1989-05-28,23.5,56280,1989,1
1989-05-29,19.7,56280,1989,1
1989-05-30,19.9,56280,1989,1
1989-05-31,22.0,56280,1989,1
1989-06-01,23.4,56280,1989,1
1989-06-02,22.9,56280,1989,1
1989-06-03,23.1,56280,1989,1
1989-06-04,25.2,56280,1989,1
1989-06-05,26.3,56280,1989,1
1989-06-06,22.9,56280,1989,1
1989-06-07,23.7,56280,1989,1
1989-06-08,25.0,56280,1989,1
1989-06-09,22.7,56280,1989,1
1989-06-10,24.2,56280,1989,1
1989-06-11,24.9,56280,1989,1
1989-06-12,24.1,56280,1989,1
1989-06-13,22.5,56280,1989,1
1989-06-14,23.4,56280,1989,1
1989-06-15,22.9,56280,1989,1
1989-06-16,20.9,56280,1989,1
1989-06-17,19.5,56280,1989,1
1989-06-18,20.0,56280,1989,1
1989-06-19,18.1,56280,1989,1
1989-06-20,18.2,56280,1989,1
1989-06-21,20.5,56280,1989,1
1989-06-22,22.0,56280,1989,1
1989-06-23,20.2,56280,1989,1
1989-06-24,20.6,56280,1989,1
1989-06-25,19.4,56280,1989,1
1989-06-26,19.7,56280,1989,1
1989-06-27,22.4,56280,1989,1
1989-06-28,21.0,56280,1989,1
1989-06-29,21.2,56280,1989,1
1989-06-30,21.9,56280,1989,1
1989-07-01,21.9,56280,1989,1
1989-07-02,21.2,56280,1989,1
1989-07-03,20.1,56280,1989,1
1989-07-04,20.6,56280,1989,1
1989-07-05,22.6,56280,1989,1
1989-07-06,25.0,56280,1989,1
1989-07-07,24.9,56280,1989,1
1989-07-08,23.7,56280,1989,1
1989-07-09,22.1,56280,1989,1
1989-07-10,22.3,56280,1989,1
1989-07-11,23.8,56280,1989,1
1989-07-12,23.6,56280,1989,1
1989-07-13,22.5,56280,1989,1
1989-07-14,23.8,56280,1989,1
1989-07-15,24.8,56280,1989,1
1989-07-16,25.0,56280,1989,1
1989-07-17,24.7,56280,1989,1
1989-07-18,26.6,56280,1989,1
1989-07-19,26.9,56280,1989,1
1989-07-20,26.3,56280,1989,1
1989-07-21,26.3,56280,1989,1
1989-07-22,27.0,56280,1989,1
1989-07-23,25.8,56280,1989,1
1989-07-24,25.6,56280,1989,1
1989-07-25,26.0,56280,1989,1
1989-07-26,22.3,56280,1989,1
1989-07-27,20.0,56280,1989,1
1989-07-28,22.7,56280,1989,1
1989-07-29,23.2,56280,1989,1
1989-07-30,23.0,56280,1989,1
1989-07-31,23.8,56280,1989,1
1989-08-01,24.8,56280,1989,1
1989-08-02,24.9,56280,1989,1
1989-08-03,22.7,56280,1989,1
1989-08-04,23.9,56280,1989,1
1989-08-05,23.0,56280,1989,1
1989-08-06,22.0,56280,1989,1
1989-08-07,25.6,56280,1989,1
1989-08-08,25.9,56280,1989,1
1989-08-09,25.6,56280,1989,1
1989-08-10,24.7,56280,1989,1
1989-08-11,25.0,56280,1989,1
1989-08-12,22.6,56280,1989,1
1989-08-13,24.2,56280,1989,1
1989-08-14,22.9,56280,1989,1
1989-08-15,24.7,56280,1989,1
1989-08-16,22.7,56280,1989,1
1989-08-17,23.0,56280,1989,1
1989-08-18,21.4,56280,1989,1
1989-08-19,21.2,56280,1989,1
1989-08-20,22.8,56280,1989,1
1989-08-21,22.8,56280,1989,1
1989-08-22,23.5,56280,1989,1
1989-08-23,22.6,56280,1989,1
1989-08-24,20.8,56280,1989,1
1989-08-25,20.0,56280,1989,1
1989-08-26,22.2,56280,1989,1
1989-08-27,24.3,56280,1989,1
1989-08-28,24.9,56280,1989,1
1989-08-29,24.2,56280,1989,1
1989-08-30,21.8,56280,1989,1
1989-08-31,23.0,56280,1989,1
1989-09-01,25.3,56280,1989,1
1989-09-02,23.6,56280,1989,1
1989-09-03,23.3,56280,1989,1
1989-09-04,21.6,56280,1989,1
1989-09-05,22.6,56280,1989,1
1989-09-06,22.5,56280,1989,1
1989-09-07,19.1,56280,1989,1
1989-09-08,19.1,56280,1989,1
1989-09-09,20.4,56280,1989,1
1989-09-10,21.7,56280,1989,1
1989-09-11,20.9,56280,1989,1
1989-09-12,21.2,56280,1989,1
1989-09-13,21.2,56280,1989,1
1989-09-14,21.1,56280,1989,1
1989-09-15,21.9,56280,1989,1
1989-09-16,22.6,56280,1989,1
1989-09-17,21.3,56280,1989,1
1989-09-18,22.2,56280,1989,1
1989-09-19,21.2,56280,1989,1
1989-09-20,20.5,56280,1989,1
1989-09-21,21.1,56280,1989,1
1989-09-22,21.8,56280,1989,1
1989-09-23,21.1,56280,1989,1
1989-09-24,20.4,56280,1989,1
1989-09-25,22.2,56280,1989,1
1989-09-26,21.2,56280,1989,1
1989-09-27,18.3,56280,1989,1
1989-09-28,18.8,56280,1989,1
1989-09-29,17.6,56280,1989,1
1989-09-30,17.4,56280,1989,1
1989-10-01,18.8,56280,1989,1
1989-10-02,18.5,56280,1989,1
1989-10-03,17.5,56280,1989,1
1989-10-04,17.3,56280,1989,1
1989-10-05,17.5,56280,1989,1
1989-10-06,17.5,56280,1989,1
1989-10-07,16.2,56280,1989,1
1989-10-08,16.0,56280,1989,1
1989-10-09,14.8,56280,1989,1
1989-10-10,16.7,56280,1989,1
1989-10-11,17.3,56280,1989,1
1989-10-12,17.3,56280,1989,1
1989-10-13,18.9,56280,1989,1
1989-10-14,17.8,56280,1989,1
1989-10-15,17.8,56280,1989,1
1989-10-16,15.0,56280,1989,1
1989-10-17,10.4,56280,1989,1
1989-10-18,10.2,56280,1989,1
1989-10-19,12.0,56280,1989,1
1989-10-20,13.8,56280,1989,1
1989-10-21,15.0,56280,1989,1
1989-10-22,16.2,56280,1989,1
1989-10-23,16.8,56280,1989,1
1989-10-24,17.6,56280,1989,1
1989-10-25,17.1,56280,1989,1
1989-10-26,18.2,56280,1989,1
1989-10-27,18.1,56280,1989,1
1989-10-28,17.8,56280,1989,1
1989-10-29,15.2,56280,1989,1
1989-10-30,15.2,56280,1989,1
1989-10-31,16.6,56280,1989,1
1989-11-01,15.9,56280,1989,1
1989-11-02,15.4,56280,1989,1
1989-11-03,15.9,56280,1989,1
1989-11-04,15.4,56280,1989,1
1990-05-25,20.1,56280,1990,1
1990-05-26,21.6,56280,1990,1
1990-05-27,22.4,56280,1990,1
1990-05-28,18.7,56280,1990,1
1990-05-29,20.9,56280,1990,1
1990-05-30,20.2,56280,1990,1
1990-05-31,18.3,56280,1990,1
1990-06-01,20.1,56280,1990,1
1990-06-02,20.6,56280,1990,1
1990-06-03,22.8,56280,1990,1
1990-06-04,22.8,56280,1990,1
1990-06-05,23.9,56280,1990,1
1990-06-06,20.8,56280,1990,1
1990-06-07,20.7,56280,1990,1
1990-06-08,22.8,56280,1990,1
1990-06-09,24.3,56280,1990,1
1990-06-10,25.1,56280,1990,1
1990-06-11,23.1,56280,1990,1
1990-06-12,25.2,56280,1990,1
1990-06-13,23.6,56280,1990,1
1990-06-14,25.7,56280,1990,1
1990-06-15,25.1,56280,1990,1
1990-06-16,23.8,56280,1990,1
1990-06-17,20.8,56280,1990,1
1990-06-18,19.8,56280,1990,1
1990-06-19,20.7,56280,1990,1
1990-06-20,21.6,56280,1990,1
1990-06-21,23.5,56280,1990,1
1990-06-22,24.6,56280,1990,1
1990-06-23,20.0,56280,1990,1
1990-06-24,21.9,56280,1990,1
1990-06-25,22.8,56280,1990,1
1990-06-26,23.9,56280,1990,1
1990-06-27,24.8,56280,1990,1
1990-06-28,21.8,56280,1990,1
1990-06-29,20.0,56280,1990,1
1990-06-30,24.1,56280,1990,1
1990-07-01,24.1,56280,1990,1
1990-07-02,25.3,56280,1990,1
1990-07-03,25.1,56280,1990,1
1990-07-04,24.8,56280,1990,1
1990-07-05,25.0,56280,1990,1
1990-07-06,24.2,56280,1990,1
1990-07-07,25.9,56280,1990,1
1990-07-08,24.8,56280,1990,1
1990-07-09,26.2,56280,1990,1
1990-07-10,25.4,56280,1990,1
1990-07-11,23.1,56280,1990,1
1990-07-12,22.2,56280,1990,1
1990-07-13,24.4,56280,1990,1
1990-07-14,27.6,56280,1990,1
1990-07-15,27.2,56280,1990,1
1990-07-16,25.8,56280,1990,1
1990-07-17,20.1,56280,1990,1
1990-07-18,24.0,56280,1990,1
1990-07-19,23.9,56280,1990,1
1990-07-20,21.7,56280,1990,1
1990-07-21,21.4,56280,1990,1
1990-07-22,22.4,56280,1990,1
1990-07-23,23.6,56280,1990,1
1990-07-24,25.5,56280,1990,1
1990-07-25,24.7,56280,1990,1
